site_id,site_code,site_name,country_code,country,latitude,longitude,source_network,source_system,source_files,source_count,in_explorer,has_accessible_data,known_site_only,needs_manual_review,review_reason
,,Arcturus,,,-23.8587,148.4746,OzFlux,external_docs,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1,3,false,false,true,false,
,,Bia Tano Forest Reserve,,,7.03325,-2.62253,WAF_Net,external_docs,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1,3,false,false,true,false,
,,French Island,,,-38.3879,145.2783,OzFlux,external_docs,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1,3,false,false,true,false,
,,Gatum Pasture,,,-37.3903,141.9716,OzFlux,external_docs,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1,3,false,false,true,false,
,,Gorigo,,,10.93567,-0.82412,WAF_Net,external_docs,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1,3,false,false,true,false,
,,Janga,,,10.1299,-0.8837,WAF_Net,external_docs,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1,3,false,false,true,false,
,,Mole,,,9.3386,-1.8689,WAF_Net,external_docs,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1,3,false,false,true,false,
,,Wankama F,,,13.64251,2.631118,WAF_Net,external_docs,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1,3,false,false,true,false,
,,Wankama M,,,13.647488,2.63374,WAF_Net,external_docs,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1,3,false,false,true,false,
,,Yarramundi,,,-33.6135,150.7349,OzFlux,external_docs,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1,3,false,false,true,false,
AE-ADb,ADb,Abu Dhabi Eastern Mangroves,AE,United Arab Emirates,24.450883,54.428792,European_Fluxes,explorer_repo_metadata,24.explorerDocs/EFDC_SitesList.csv; 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/Towers_Stoy.csv; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/originals/Towers_Stoy.csv; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv; assets/efd_sites_snapshot.csv; assets/site_name_metadata.csv,10,false,false,true,false,
AKO,AKO,Akou green belt,,,34.786316,134.370861,Site metadata,explorer_repo_metadata,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv; assets/site_name_metadata.csv,6,false,false,true,true,country_code could not be inferred confidently
API,API,Appi forest meteorology research site,,,40.022356,140.939255,Site metadata,explorer_repo_metadata,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv; assets/site_name_metadata.csv,6,false,false,true,true,country_code could not be inferred confidently
AQ-Kse,Kse,,AQ,Antarctica,-62.232115,-58.804321,Stoy only,external_docs,24.explorerDocs/Towers_Stoy.csv; 24.explorerDocs/originals/Towers_Stoy.csv; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv,4,false,false,true,false,
AR-Bal,Bal,Balcarce BA,AR,Argentina,-37.7596,-58.3024,Vegetation metadata,explorer_accessible,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/explorerSiteList_032026.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/unique_flux_sites.csv; assets/ameriflux_site_info.csv; assets/shuttle_snapshot.csv; assets/site_name_metadata.csv; assets/site_vegetation_metadata.csv,9,true,true,false,false,
AR-CCa,CCa,Carlos Casares agriculture,AR,Argentina,-35.621,-61.3181,Vegetation metadata,explorer_accessible,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/Towers_Stoy.csv; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/explorerSiteList_032026.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/originals/Towers_Stoy.csv; 24.explorerDocs/unique_flux_sites.csv; assets/ameriflux_site_info.csv; assets/shuttle_snapshot.csv; assets/site_name_metadata.csv; assets/site_vegetation_metadata.csv,11,true,true,false,false,
AR-CCg,CCg,Carlos Casares grassland,AR,Argentina,-35.9244,-61.1855,Vegetation metadata,explorer_accessible,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/Towers_Stoy.csv; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/explorerSiteList_032026.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/originals/Towers_Stoy.csv; 24.explorerDocs/unique_flux_sites.csv; assets/ameriflux_site_info.csv; assets/shuttle_snapshot.csv; assets/site_name_metadata.csv; assets/site_vegetation_metadata.csv,11,true,true,false,false,
AR-CEL,CEL,CELPA Mar Chiquita BA,AR,Argentina,-37.7028,-57.4192,Vegetation metadata,explorer_repo_metadata,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv; assets/ameriflux_site_info.csv; assets/site_name_metadata.csv; assets/site_vegetation_metadata.csv,8,false,false,true,false,
AR-ROM,ROM,Romano Mar Chiquita BA,AR,Argentina,-37.5508,-57.2972,Vegetation metadata,explorer_repo_metadata,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv; assets/ameriflux_site_info.csv; assets/site_name_metadata.csv; assets/site_vegetation_metadata.csv,8,false,false,true,false,
AR-SLu,SLu,San Luis,AR,Argentina,-33.4648,-66.4598,Vegetation metadata,explorer_repo_metadata,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/explorerSiteList_032026.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/unique_flux_sites.csv; assets/site_name_metadata.csv; assets/site_vegetation_metadata.csv; assets/siteinfo_fluxnet2015.csv,8,false,false,true,false,
AR-TF1,TF1,Rio Moat bog,AR,Argentina,-54.9733,-66.7335,Vegetation metadata,explorer_accessible,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/Towers_Stoy.csv; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/explorerSiteList_032026.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/originals/Towers_Stoy.csv; 24.explorerDocs/unique_flux_sites.csv; assets/ameriflux_site_info.csv; assets/shuttle_snapshot.csv; assets/site_name_metadata.csv; assets/site_vegetation_metadata.csv,11,true,true,false,false,
AR-TF2,TF2,Rio Pipo bog,AR,Argentina,-54.8269,-68.4549,Vegetation metadata,explorer_accessible,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/Towers_Stoy.csv; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/explorerSiteList_032026.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/originals/Towers_Stoy.csv; 24.explorerDocs/unique_flux_sites.csv; assets/ameriflux_site_info.csv; assets/shuttle_snapshot.csv; assets/site_name_metadata.csv; assets/site_vegetation_metadata.csv,11,true,true,false,false,
AR-Vir,Vir,Virasoro,AR,Argentina,-28.2395,-56.1886,Vegetation metadata,explorer_repo_metadata,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/explorerSiteList_032026.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/unique_flux_sites.csv; assets/site_name_metadata.csv; assets/site_vegetation_metadata.csv; assets/siteinfo_fluxnet2015.csv,8,false,false,true,false,
AT-Fue,Fue,,AT,Austria,47.367374,11.854709,Stoy only,external_docs,24.explorerDocs/Towers_Stoy.csv; 24.explorerDocs/originals/Towers_Stoy.csv; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv,4,false,false,true,false,
AT-Hnb,Hnb,,AT,Austria,47.803333,13.591389,Stoy only,external_docs,24.explorerDocs/Towers_Stoy.csv; 24.explorerDocs/originals/Towers_Stoy.csv; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv,4,false,false,true,false,
AT-Inn,Inn,Innsbruck,AT,Austria,47.264096,11.385816,European_Fluxes,explorer_accessible,24.explorerDocs/EFDC_SitesList.csv; 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/Towers_Stoy.csv; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/originals/Towers_Stoy.csv; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv; assets/efd_curated_sites_snapshot.csv; assets/efd_sites_snapshot.csv; assets/site_name_metadata.csv,11,true,true,false,false,
AT-Lan,Lan,,AT,Austria,47.061221,10.963454,Stoy only,external_docs,24.explorerDocs/Towers_Stoy.csv; 24.explorerDocs/originals/Towers_Stoy.csv; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv,4,false,false,true,false,
AT-Leu,Leu,,AT,Austria,47.378036,11.16278,Stoy only,external_docs,24.explorerDocs/Towers_Stoy.csv; 24.explorerDocs/originals/Towers_Stoy.csv; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv,4,false,false,true,false,
AT-Mac,Mac,Marchegg,AT,Austria,48.286557,16.907064,European_Fluxes,explorer_repo_metadata,24.explorerDocs/EFDC_SitesList.csv; 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv; assets/efd_sites_snapshot.csv; assets/site_name_metadata.csv,8,false,false,true,false,
AT-Mmg,Mmg,Mieming,AT,Austria,47.316563,10.970089,European Fluxes Database,explorer_accessible,24.explorerDocs/EFDC_SitesList.csv; 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/Towers_Stoy.csv; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/explorerSiteList_032026.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/originals/Towers_Stoy.csv; 24.explorerDocs/unique_flux_sites.csv; assets/efd_curated_sites_snapshot.csv; assets/efd_sites_snapshot.csv; assets/icos_direct_fluxnet.csv; assets/shuttle_snapshot.csv; assets/site_name_metadata.csv,13,true,true,false,false,
AT-Neu,Neu,Neustift,AT,Austria,47.116318,11.320229,CarboEuropeIP;European Fluxes Database;GHG-Europe,explorer_accessible,24.explorerDocs/EFDC_SitesList.csv; 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/Towers_Stoy.csv; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/explorerSiteList_032026.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/originals/Towers_Stoy.csv; 24.explorerDocs/unique_flux_sites.csv; assets/efd_curated_sites_snapshot.csv; assets/efd_sites_snapshot.csv; assets/icos_direct_fluxnet.csv; assets/shuttle_snapshot.csv; assets/site_name_metadata.csv; assets/site_vegetation_metadata.csv; assets/siteinfo_fluxnet2015.csv,15,true,true,false,false,
AT-Nsd,Nsd,Neusiedl,AT,Austria,47.76914,16.758492,European_Fluxes,explorer_accessible,24.explorerDocs/EFDC_SitesList.csv; 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv; assets/efd_curated_sites_snapshot.csv; assets/efd_sites_snapshot.csv; assets/site_name_metadata.csv,9,true,true,false,false,
