SITE_ID,SITE_NAME,COUNTRY,LOCATION_LAT,LOCATION_LONG
AR-BAL,Balcarce BA,Argentina,-37.7596,-58.3024
AR-CCA,Carlos Casares agriculture,Argentina,-35.6210,-61.3181
AR-CCG,Carlos Casares grassland,Argentina,-35.9244,-61.1855
AR-CEL,CELPA Mar Chiquita BA,Argentina,-37.7028,-57.4192
AR-ROM,Romano Mar Chiquita BA,Argentina,-37.5508,-57.2972
AR-TF1,Rio Moat bog,Argentina,-54.9733,-66.7335
AR-TF2,Rio Pipo bog,Argentina,-54.8269,-68.4549
BR-BNT,BIONTE,Brazil,-2.6334,-60.1505
BR-CAX,"CAX, FLONA Caxiuanã micromet tower",Brazil,-1.7185,-51.4583
BR-CMT,Capuaba farm Mato Grosso,Brazil,-13.2875,-56.0882
BR-CST,Caatinga Serra Talhada,Brazil,-7.9682,-38.3842
BR-CUI,Micrometeorological studies project in Amazonian mangroves,Brazil,-0.6661,-47.2833
BR-CUP,Cupari Tapajos National Forest,Brazil,-3.7874,-55.3664
BR-IAB,Instituto Arruda Botelho - Wooded Cerrado and Mixed Agriculture,Brazil,-22.1710,-47.8710
BR-ITA,MataFLUX: Multi-species tree restoration planting,Brazil,-23.0604,-48.6467
BR-JI1,Fazenda Nossa Senhora (FNS),Brazil,-10.7618,-62.3572
BR-JI3,Ji-Paraná/RO - Reserva Biológica do Jaru (RBJ),Brazil,-10.1866,-61.8725
BR-MA2,Manaus - ZF2 K34,Brazil,-2.6091,-60.2093
BR-MA3,"ZF3, Colosso farm",Brazil,-2.3907,-59.8835
BR-MOJ,"Moju/PA, Commercial oil palm plantation",Brazil,-1.9787,-48.6147
BR-NPW,Northern Pantanal Wetland,Brazil,-16.4980,-56.4120
BR-PRS,Paraíso do Sul,Brazil,-29.7440,-53.1503
BR-SA1,Santarem-Km67-Primary Forest,Brazil,-2.8567,-54.9589
BR-SA3,Santarem-Km83-Logged Forest,Brazil,-3.0180,-54.9714
BR-SGC,"São Gabriel da Cachoeira (Balaio Indigenous Reserve, Pico da Neblina National Park)",Brazil,0.2101,-66.7529
BR-SM1,Cachoeira do Sul Rice Paddy,Brazil,-30.2771,-53.1479
BR-SM2,Pedras Altas Grassland,Brazil,-31.7259,-53.5339
BR-SM3,Santa Maria Grassland,Brazil,-29.7243,-53.7600
BR-SP1,Southern Pantanal Wetland,Brazil,-19.5650,-57.0180
BR-XPW,XomanoFlux,Brazil,-16.3730,-56.4610
CA-AF1,Acadia Research Forest,Canada,46.0092,-66.3627
CA-ARB,Attawapiskat River Bog,Canada,52.6950,-83.9452
CA-ARF,Attawapiskat River Fen,Canada,52.7008,-83.9550
CA-BCW,Big Creek Watershed,Canada,42.6206,-80.5516
CA-BOU,Bouleau Peatland,Canada,50.5244,-63.2064
CA-BSM,Black Spruce Moss Forest,Canada,50.9021,-63.4052
CA-CA1,British Columbia - 1949 Douglas-fir stand,Canada,49.8673,-125.3336
CA-CA2,British Columbia - Clearcut Douglas-fir stand (harvested winter 1999/2000),Canada,49.8705,-125.2909
CA-CA3,British Columbia - Pole sapling Douglas-fir stand,Canada,49.5346,-124.9004
CA-CBO,"Ontario - Mixed Deciduous, Borden Forest Site",Canada,44.3184,-79.9341
CA-CF1,Churchill Fen Site 1,Canada,58.6658,-93.8300
CA-CF2,Churchill Fen Site 2,Canada,58.6658,-93.8300
CA-CF3,Churchill Fen Site 3,Canada,58.6658,-93.8304
CA-CHA,New Brunswick - Charlie Lake site 01 (immature balsam fir forest to be thinned in year 3),Canada,45.8847,-67.3569
CA-CQ1,Québec. Carbonique1 - Lac Saint-Pierre Disturbed Marsh,Canada,46.1645,-72.6850
CA-CRB,Carberry,Canada,49.9061,-99.3480
CA-DB2,Delta Burns Bog 2,Canada,49.1190,-122.9951
CA-DBB,Delta Burns Bog,Canada,49.1293,-122.9849
CA-DL1,Daring Lake - Mixed Tundra,Canada,64.8689,-111.5748
CA-DL2,Daring Lake - Fen,Canada,64.8648,-111.5677
CA-DSM,Delta Salt Marsh,Canada,49.0887,-122.8954
CA-EM1,Newdale Manitoba,Canada,50.3623,-100.2024
CA-EM2,Shoal Lake Manitoba,Canada,50.3706,-100.5339
CA-EM3,Oak Hammock Marsh Manitoba,Canada,50.1738,-97.1231
CA-ER1,Elora Research Station,Canada,43.6405,-80.4123
CA-ER2,Elora Research Station,Canada,43.6419,-80.4140
CA-GL3,Long Point,Canada,42.5487,-80.0165
CA-GRO,"Ontario - Groundhog River, Boreal Mixedwood Forest",Canada,48.2167,-82.1556
CA-HPC,Havikpak Creek,Canada,68.3203,-133.5188
CA-IQT,Iqaluit Tundra,Canada,63.7507,-68.4285
CA-KLP,Kinoje Lake Peatland,Canada,51.5902,-81.7684
CA-KT1,Kenton - Field 1,Canada,50.0220,-100.5713
CA-KT2,Kenton - Field 2,Canada,50.0241,-100.5721
CA-LET,Alberta - Mixed Grass Prairie,Canada,49.7093,-112.9402
CA-LP1,British Columbia - Mountain pine beetle-attacked lodgepole pine stand,Canada,55.1119,-122.8414
CA-LU1,Steen River,Canada,59.5951,-117.2862
CA-LU2,Lutose,Canada,59.4405,-117.2422
CA-LUM,Luther Marsh Wildlife Management Area,Canada,43.9201,-80.4052
CA-MA1,Manitoba Agricultural Site 1,Canada,50.1645,-97.8762
CA-MA2,Manitoba Agricultural Site 2,Canada,50.1710,-97.8762
CA-MA3,Manitoba Agricultural Site 3,Canada,50.1774,-97.8686
CA-MAN,Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area),Canada,55.8796,-98.4808
CA-MER,"Ontario - Eastern Peatland, Mer Bleue",Canada,45.4094,-75.5186
