site_id,site_name,country,data_hub,network,source_network,processing_lineage,vegetation_type,first_year,last_year,latitude,longitude,download_link,download_mode,source,source_label,source_reason,source_priority,source_origin,flux_list,access_label,data_use_label,request_page_url,site_page_url,sites_list_url,guidelines_url,data_policy_url,known_data_record,efd_access_summary,efd_policy_year_count,efd_policy_first_year,efd_policy_last_year,efd_provenance,last_updated
AT-Inn,Innsbruck,AT,EFD,,,,URB,,,47.264096,11.385816,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,BVOCs-E; CH4-E; CO2-E; H-E; LE-E; O3-E,Private,Close,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=AT-Inn,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,restricted,6,2017,2022,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
AT-Mmg,Mieming,AT,EFD,,,,ENF,,,47.316564,10.970089,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,CO2-E; H-E; H2O-E; LE-E,Public,Open,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=AT-Mmg,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,public,5,2021,2025,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
AT-Neu,Neustift,AT,EFD,CarboEuropeIP; GHG-Europe,CarboEuropeIP; GHG-Europe,,GRA,,,47.116318,11.320229,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,BVOCs-E; CH4-E; CO2-E; H-E; LE-E; N2O-E; O3-E,Public,Open,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=AT-Neu,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,public,19,2002,2020,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
AT-Nsd,Neusiedl,AT,EFD,,,,WET,,,47.76914,16.758492,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,CH4-E; CH4-C; CO2-E; CO2-C; H-E; H2O-E; Isotopes-C; LE-E,Private,Close,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=AT-Nsd,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,restricted,6,2018,2023,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
AT-Rtz,Rotholz,AT,EFD,GHG-Europe,GHG-Europe,,GRA,,,47.3947222222222,11.80472222,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,CO2-E; H-E; LE-E,Public,Open,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=AT-Rtz,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,public,6,2008,2013,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
AT-VnA,Vienna Arsenal,AT,EFD,,,,URB,,,48.1818376569608,16.3908508945253,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,CH4-E; CO2-E; H-E; Isotopes; LE-E,Public,Open,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=AT-VnA,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,public,4,2017,2020,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
AT-Zoe,Zoebelboden,AT,EFD,,,,MF,,,47.842246069311,14.444136161386,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,CH4-E; CO2-E; H-E; LE-E,Private,Close,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=AT-Zoe,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,restricted,11,2014,2024,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
BE-Bra,Brasschaat,BE,EFD,CarboEuropeIP; CarboEuroFlux; EuroFlux; ICOS; CarboExtreme,CarboEuropeIP; CarboEuroFlux; EuroFlux; ICOS; CarboExtreme,,MF,,,51.30761,4.51984,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,,Public; Private,Open; Close,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=BE-Bra,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,mixed,27,1996,2022,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
BE-Dor,Dorinne,BE,EFD,GHG-Europe,GHG-Europe,,GRA,,,50.311876,4.968113,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,CH4; CO2-E; H-E; LE-E; N2O,Private,Close,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=BE-Dor,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,restricted,15,2011,2025,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
BE-Jal,La Robinette (Jalhay),BE,EFD,CarboEuropeIP,CarboEuropeIP,,MF,,,50.56388889,6.073333333,https://www.europe-fluxdata.eu/home/data/request-data,request_page,EFD,EFD,"Known EFD data record based on the public EFD site details and data-policy pages. Access remains request-based via EFD; some data may require PI approval or PI contact, and current direct download is not implied.",50,efd,,Public; Private,Open; Close,https://www.europe-fluxdata.eu/home/data/request-data,https://www.europe-fluxdata.eu/home/site-details?id=BE-Jal,https://www.europe-fluxdata.eu/home/sites-list,https://www.europe-fluxdata.eu/home/guidelines/obtaining-data/general-information,https://www.europe-fluxdata.eu/home/data/data-policy,true,mixed,6,2006,2011,Derived from the public EFD site-details pages and year-by-year data-policy tables on 2026-04-08.,2026-04-08T07:05:48Z
