site_id,site_name,country,data_hub,network,source_network,vegetation_type,first_year,last_year,latitude,longitude,download_link,download_mode,source,source_label,source_reason,source_priority,source_origin,object_id,file_name,direct_download_url,metadata_url,access_url,object_spec,project,coverage_start,coverage_end,production_end,citation
BE-Bra,Brasschaat,BE,ICOS,FLX,FLX,Evergreen Needleleaf Forests,1996,2020,51.30761,4.51984,https://data.icos-cp.eu/licence_accept?ids=%5B%225BCT4nKCoGaYQh77DW6OW7gs%22%5D&fileName=FLX_BE-Bra_FLUXNET2015_FULLSET_1996-2020_beta-3.zip,direct,ICOS,ICOS,Discovered directly from ICOS Carbon Portal FLUXNET metadata.,300,icos_direct,5BCT4nKCoGaYQh77DW6OW7gs,FLX_BE-Bra_FLUXNET2015_FULLSET_1996-2020_beta-3.zip,https://data.icos-cp.eu/licence_accept?ids=%5B%225BCT4nKCoGaYQh77DW6OW7gs%22%5D&fileName=FLX_BE-Bra_FLUXNET2015_FULLSET_1996-2020_beta-3.zip,https://meta.icos-cp.eu/objects/5BCT4nKCoGaYQh77DW6OW7gs,https://data.icos-cp.eu/objects/5BCT4nKCoGaYQh77DW6OW7gs,http://meta.icos-cp.eu/resources/cpmeta/miscFluxnetArchiveProduct,http://meta.icos-cp.eu/resources/projects/FLUXNET,1996-01-01T00:00:00Z,2021-01-01T00:00:00Z,2022-01-27T16:36:49.409195Z,"Janssens, I., De Meulder, T., Roland, M., Segers, J., ICOS Ecosystem Thematic Centre, 2022. Warm winter 2020 ecosystem eddy covariance flux product from Brasschaat. https://doi.org/10.18160/YVBQ-K6WF"
BE-Dor,Dorinne,BE,ICOS,FLX,FLX,Grasslands,2011,2020,50.311874,4.968113,https://data.icos-cp.eu/licence_accept?ids=%5B%22jj6XKOTi8v0NFqA8vPylKMPX%22%5D&fileName=FLX_BE-Dor_FLUXNET2015_FULLSET_2011-2020_beta-3.zip,direct,ICOS,ICOS,Discovered directly from ICOS Carbon Portal FLUXNET metadata.,300,icos_direct,jj6XKOTi8v0NFqA8vPylKMPX,FLX_BE-Dor_FLUXNET2015_FULLSET_2011-2020_beta-3.zip,https://data.icos-cp.eu/licence_accept?ids=%5B%22jj6XKOTi8v0NFqA8vPylKMPX%22%5D&fileName=FLX_BE-Dor_FLUXNET2015_FULLSET_2011-2020_beta-3.zip,https://meta.icos-cp.eu/objects/jj6XKOTi8v0NFqA8vPylKMPX,https://data.icos-cp.eu/objects/jj6XKOTi8v0NFqA8vPylKMPX,http://meta.icos-cp.eu/resources/cpmeta/miscFluxnetArchiveProduct,http://meta.icos-cp.eu/resources/projects/FLUXNET,2011-01-01T00:00:00Z,2021-01-01T00:00:00Z,2022-01-27T16:36:53.456124Z,"Heinesch, B., De Ligne, A., de la Motte, L.G., Manise, T., ICOS Ecosystem Thematic Centre, 2022. Warm winter 2020 ecosystem eddy covariance flux product from Dorinne. https://doi.org/10.18160/P7JG-DVR4"
BE-Lcr,Lochristi,BE,ICOS,FLX,FLX,Deciduous Broadleaf Forests,2019,2020,51.11218,3.85043,https://data.icos-cp.eu/licence_accept?ids=%5B%22-C7VDYrq2a4_XF1veXiBILdV%22%5D&fileName=FLX_BE-Lcr_FLUXNET2015_FULLSET_2019-2020_beta-3.zip,direct,ICOS,ICOS,Discovered directly from ICOS Carbon Portal FLUXNET metadata.,300,icos_direct,-C7VDYrq2a4_XF1veXiBILdV,FLX_BE-Lcr_FLUXNET2015_FULLSET_2019-2020_beta-3.zip,https://data.icos-cp.eu/licence_accept?ids=%5B%22-C7VDYrq2a4_XF1veXiBILdV%22%5D&fileName=FLX_BE-Lcr_FLUXNET2015_FULLSET_2019-2020_beta-3.zip,https://meta.icos-cp.eu/objects/-C7VDYrq2a4_XF1veXiBILdV,https://data.icos-cp.eu/objects/-C7VDYrq2a4_XF1veXiBILdV,http://meta.icos-cp.eu/resources/cpmeta/miscFluxnetArchiveProduct,http://meta.icos-cp.eu/resources/projects/FLUXNET,2019-01-01T00:00:00Z,2021-01-01T00:00:00Z,2022-01-27T16:36:55.775835Z,"De Meulder, T., Segers, J., Roland, M., Arriga, N., ICOS Ecosystem Thematic Centre, 2022. Warm winter 2020 ecosystem eddy covariance flux product from Lochristi. https://doi.org/10.18160/9CZ8-7Q8Q"
BE-Lon,Lonzee,BE,ICOS,FLX,FLX,Croplands,2004,2020,50.55162,4.746234,https://data.icos-cp.eu/licence_accept?ids=%5B%22URIAsjYz5-1CoewJ3zzNF59K%22%5D&fileName=FLX_BE-Lon_FLUXNET2015_FULLSET_2004-2020_beta-3.zip,direct,ICOS,ICOS,Discovered directly from ICOS Carbon Portal FLUXNET metadata.,300,icos_direct,URIAsjYz5-1CoewJ3zzNF59K,FLX_BE-Lon_FLUXNET2015_FULLSET_2004-2020_beta-3.zip,https://data.icos-cp.eu/licence_accept?ids=%5B%22URIAsjYz5-1CoewJ3zzNF59K%22%5D&fileName=FLX_BE-Lon_FLUXNET2015_FULLSET_2004-2020_beta-3.zip,https://meta.icos-cp.eu/objects/URIAsjYz5-1CoewJ3zzNF59K,https://data.icos-cp.eu/objects/URIAsjYz5-1CoewJ3zzNF59K,http://meta.icos-cp.eu/resources/cpmeta/miscFluxnetArchiveProduct,http://meta.icos-cp.eu/resources/projects/FLUXNET,2004-01-01T00:00:00Z,2021-01-01T00:00:00Z,2022-01-27T16:37:07.989135Z,"Heinesch, B., De Ligne, A., Manise, T., Longdoz, B., ICOS Ecosystem Thematic Centre, 2022. Warm winter 2020 ecosystem eddy covariance flux product from Lonzee. https://doi.org/10.18160/46P3-WT1D"
BE-Maa,Maasmechelen,BE,ICOS,FLX,FLX,Closed Shrublands,2016,2020,50.97987,5.631851,https://data.icos-cp.eu/licence_accept?ids=%5B%22mqFGBbnviCPvS_Vhben9pjsa%22%5D&fileName=FLX_BE-Maa_FLUXNET2015_FULLSET_2016-2020_beta-3.zip,direct,ICOS,ICOS,Discovered directly from ICOS Carbon Portal FLUXNET metadata.,300,icos_direct,mqFGBbnviCPvS_Vhben9pjsa,FLX_BE-Maa_FLUXNET2015_FULLSET_2016-2020_beta-3.zip,https://data.icos-cp.eu/licence_accept?ids=%5B%22mqFGBbnviCPvS_Vhben9pjsa%22%5D&fileName=FLX_BE-Maa_FLUXNET2015_FULLSET_2016-2020_beta-3.zip,https://meta.icos-cp.eu/objects/mqFGBbnviCPvS_Vhben9pjsa,https://data.icos-cp.eu/objects/mqFGBbnviCPvS_Vhben9pjsa,http://meta.icos-cp.eu/resources/cpmeta/miscFluxnetArchiveProduct,http://meta.icos-cp.eu/resources/projects/FLUXNET,2016-01-01T00:00:00Z,2021-01-01T00:00:00Z,2022-01-27T16:37:11.285747Z,"Roland, M., De Meulder, T., Arriga, N., ICOS Ecosystem Thematic Centre, 2022. Warm winter 2020 ecosystem eddy covariance flux product from Maasmechelen. https://doi.org/10.18160/DZGF-E5WW"
BE-Vie,Vielsalm,BE,ICOS,FLX,FLX,Mixed Forests,1996,2020,50.304962,5.998099,https://data.icos-cp.eu/licence_accept?ids=%5B%22roUnkgssFKhxi3o9zcIP00Cw%22%5D&fileName=FLX_BE-Vie_FLUXNET2015_FULLSET_1996-2020_beta-3.zip,direct,ICOS,ICOS,Discovered directly from ICOS Carbon Portal FLUXNET metadata.,300,icos_direct,roUnkgssFKhxi3o9zcIP00Cw,FLX_BE-Vie_FLUXNET2015_FULLSET_1996-2020_beta-3.zip,https://data.icos-cp.eu/licence_accept?ids=%5B%22roUnkgssFKhxi3o9zcIP00Cw%22%5D&fileName=FLX_BE-Vie_FLUXNET2015_FULLSET_1996-2020_beta-3.zip,https://meta.icos-cp.eu/objects/roUnkgssFKhxi3o9zcIP00Cw,https://data.icos-cp.eu/objects/roUnkgssFKhxi3o9zcIP00Cw,http://meta.icos-cp.eu/resources/cpmeta/miscFluxnetArchiveProduct,http://meta.icos-cp.eu/resources/projects/FLUXNET,1996-01-01T00:00:00Z,2021-01-01T00:00:00Z,2022-01-27T16:37:17.294682Z,"Vincke, C., Heinesch, B., Longdoz, B., ICOS Ecosystem Thematic Centre, 2022. Warm winter 2020 ecosystem eddy covariance flux product from Vielsalm. https://doi.org/10.18160/DF9X-QMRK"
CH-Aws,Alp Weissenstein,CH,ICOS,FLX,FLX,Grasslands,2006,2020,46.58311,9.790639,https://data.icos-cp.eu/licence_accept?ids=%5B%22VkGrjtW55kqwRA5NVaarqoTu%22%5D&fileName=FLX_CH-Aws_FLUXNET2015_FULLSET_2006-2020_beta-3.zip,direct,ICOS,ICOS,Discovered directly from ICOS Carbon Portal FLUXNET metadata.,300,icos_direct,VkGrjtW55kqwRA5NVaarqoTu,FLX_CH-Aws_FLUXNET2015_FULLSET_2006-2020_beta-3.zip,https://data.icos-cp.eu/licence_accept?ids=%5B%22VkGrjtW55kqwRA5NVaarqoTu%22%5D&fileName=FLX_CH-Aws_FLUXNET2015_FULLSET_2006-2020_beta-3.zip,https://meta.icos-cp.eu/objects/VkGrjtW55kqwRA5NVaarqoTu,https://data.icos-cp.eu/objects/VkGrjtW55kqwRA5NVaarqoTu,http://meta.icos-cp.eu/resources/cpmeta/miscFluxnetArchiveProduct,http://meta.icos-cp.eu/resources/projects/FLUXNET,2006-01-01T00:00:00Z,2021-01-01T00:00:00Z,2022-01-27T16:37:27.648994Z,"Buchmann, N., Eugster, W., Ghiasi, S., ICOS Ecosystem Thematic Centre, 2022. Warm winter 2020 ecosystem eddy covariance flux product from Alp Weissenstein. https://doi.org/10.18160/ASYZ-4T3X"
CH-Cha,Chamau,CH,ICOS,FLX,FLX,Grasslands,2005,2020,47.21022,8.410444,https://data.icos-cp.eu/licence_accept?ids=%5B%22koB6mqHO4cQwzJsGsisB0ZDG%22%5D&fileName=FLX_CH-Cha_FLUXNET2015_FULLSET_2005-2020_beta-3.zip,direct,ICOS,ICOS,Discovered directly from ICOS Carbon Portal FLUXNET metadata.,300,icos_direct,koB6mqHO4cQwzJsGsisB0ZDG,FLX_CH-Cha_FLUXNET2015_FULLSET_2005-2020_beta-3.zip,https://data.icos-cp.eu/licence_accept?ids=%5B%22koB6mqHO4cQwzJsGsisB0ZDG%22%5D&fileName=FLX_CH-Cha_FLUXNET2015_FULLSET_2005-2020_beta-3.zip,https://meta.icos-cp.eu/objects/koB6mqHO4cQwzJsGsisB0ZDG,https://data.icos-cp.eu/objects/koB6mqHO4cQwzJsGsisB0ZDG,http://meta.icos-cp.eu/resources/cpmeta/miscFluxnetArchiveProduct,http://meta.icos-cp.eu/resources/projects/FLUXNET,2005-01-01T00:00:00Z,2021-01-01T00:00:00Z,2022-01-27T16:37:32.595722Z,"Buchmann, N., Merbold, L., Fuchs, K., Feigenwinter, I., ICOS Ecosystem Thematic Centre, 2022. Warm winter 2020 ecosystem eddy covariance flux product from Chamau grassland. https://doi.org/10.18160/V5RX-VAWY"
CH-Dav,Davos,CH,ICOS,FLX,FLX,Evergreen Needleleaf Forests,1997,2020,46.81533,9.85591,https://data.icos-cp.eu/licence_accept?ids=%5B%22sFaiiz5zR6xQptdXMmyKmuok%22%5D&fileName=FLX_CH-Dav_FLUXNET2015_FULLSET_1997-2020_beta-3.zip,direct,ICOS,ICOS,Discovered directly from ICOS Carbon Portal FLUXNET metadata.,300,icos_direct,sFaiiz5zR6xQptdXMmyKmuok,FLX_CH-Dav_FLUXNET2015_FULLSET_1997-2020_beta-3.zip,https://data.icos-cp.eu/licence_accept?ids=%5B%22sFaiiz5zR6xQptdXMmyKmuok%22%5D&fileName=FLX_CH-Dav_FLUXNET2015_FULLSET_1997-2020_beta-3.zip,https://meta.icos-cp.eu/objects/sFaiiz5zR6xQptdXMmyKmuok,https://data.icos-cp.eu/objects/sFaiiz5zR6xQptdXMmyKmuok,http://meta.icos-cp.eu/resources/cpmeta/miscFluxnetArchiveProduct,http://meta.icos-cp.eu/resources/projects/FLUXNET,1997-01-01T00:00:00Z,2021-01-01T00:00:00Z,2022-01-27T16:37:38.421165Z,"Buchmann, N., Hörtnagl, L., Merbold, L., Gharun, M., ICOS Ecosystem Thematic Centre, 2022. Warm winter 2020 ecosystem eddy covariance flux product from Davos. https://doi.org/10.18160/1JA9-VJEV"
CH-Fru,Fruebuel,CH,ICOS,FLX,FLX,Grasslands,2005,2020,47.115833,8.537778,https://data.icos-cp.eu/licence_accept?ids=%5B%22e8GBwlcZZWWDFrQ3nvUx4yLe%22%5D&fileName=FLX_CH-Fru_FLUXNET2015_FULLSET_2005-2020_beta-3.zip,direct,ICOS,ICOS,Discovered directly from ICOS Carbon Portal FLUXNET metadata.,300,icos_direct,e8GBwlcZZWWDFrQ3nvUx4yLe,FLX_CH-Fru_FLUXNET2015_FULLSET_2005-2020_beta-3.zip,https://data.icos-cp.eu/licence_accept?ids=%5B%22e8GBwlcZZWWDFrQ3nvUx4yLe%22%5D&fileName=FLX_CH-Fru_FLUXNET2015_FULLSET_2005-2020_beta-3.zip,https://meta.icos-cp.eu/objects/e8GBwlcZZWWDFrQ3nvUx4yLe,https://data.icos-cp.eu/objects/e8GBwlcZZWWDFrQ3nvUx4yLe,http://meta.icos-cp.eu/resources/cpmeta/miscFluxnetArchiveProduct,http://meta.icos-cp.eu/resources/projects/FLUXNET,2005-01-01T00:00:00Z,2021-01-01T00:00:00Z,2022-01-27T16:37:42.720786Z,"Buchmann, N., Eugster, W., Hörtnagl, L., Fuchs, K., ICOS Ecosystem Thematic Centre, 2022. Warm winter 2020 ecosystem eddy covariance flux product from Fruebuel grassland. https://doi.org/10.18160/4SAX-0ZYA"
