site_id,vegetation_type,metadata_source
AR-BAL,CRO,ameriflux_site_search
AR-CCA,CRO,ameriflux_site_search
AR-CCG,GRA,ameriflux_site_search
AR-CEL,WET,ameriflux_site_search
AR-ROM,WET,ameriflux_site_search
AR-SLU,MF,fluxnet_siteinfo
AR-TF1,WET,ameriflux_site_search
AR-TF2,WET,ameriflux_site_search
AR-VIR,ENF,fluxnet_siteinfo
AT-NEU,GRA,fluxnet_siteinfo
AU-ADE,WSA,fluxnet_siteinfo
AU-ASM,SAV,fluxnet_siteinfo
AU-CPR,SAV,fluxnet_siteinfo
AU-CUM,EBF,fluxnet_siteinfo
AU-DAP,GRA,fluxnet_siteinfo
AU-DAS,SAV,fluxnet_siteinfo
AU-DRY,SAV,fluxnet_siteinfo
AU-EMR,GRA,fluxnet_siteinfo
AU-FOG,WET,fluxnet_siteinfo
AU-GIN,WSA,fluxnet_siteinfo
AU-GWW,SAV,fluxnet_siteinfo
AU-HOW,WSA,fluxnet_siteinfo
AU-LOX,DBF,fluxnet_siteinfo
AU-RDF,WSA,fluxnet_siteinfo
AU-RIG,GRA,fluxnet_siteinfo
AU-ROB,EBF,fluxnet_siteinfo
AU-STP,GRA,fluxnet_siteinfo
AU-TTE,GRA,fluxnet_siteinfo
AU-TUM,EBF,fluxnet_siteinfo
AU-WAC,EBF,fluxnet_siteinfo
AU-WHR,EBF,fluxnet_siteinfo
AU-WOM,EBF,fluxnet_siteinfo
AU-YNC,GRA,fluxnet_siteinfo
BE-BRA,MF,fluxnet_siteinfo
BE-LON,CRO,fluxnet_siteinfo
BE-VIE,MF,fluxnet_siteinfo
BR-BNT,EBF,ameriflux_site_search
BR-CAX,EBF,ameriflux_site_search
BR-CMT,CRO,ameriflux_site_search
BR-CST,DNF,ameriflux_site_search
BR-CUI,WET,ameriflux_site_search
BR-CUP,DBF,ameriflux_site_search
BR-IAB,WSA,ameriflux_site_search
BR-ITA,EBF,ameriflux_site_search
BR-JI1,GRA,ameriflux_site_search
BR-JI3,EBF,ameriflux_site_search
BR-MA2,EBF,ameriflux_site_search
BR-MA3,CVM,ameriflux_site_search
BR-MOJ,CVM,ameriflux_site_search
BR-NPW,WSA,ameriflux_site_search
BR-PRS,CRO,ameriflux_site_search
BR-SA1,EBF,ameriflux_site_search
BR-SA3,EBF,ameriflux_site_search
BR-SGC,EBF,ameriflux_site_search
BR-SM1,CRO,ameriflux_site_search
BR-SM2,GRA,ameriflux_site_search
BR-SM3,CRO,ameriflux_site_search
BR-SP1,WSA,ameriflux_site_search
BR-XPW,GRA,ameriflux_site_search
CA-AF1,MF,ameriflux_site_search
CA-ARB,WET,ameriflux_site_search
CA-ARF,WET,ameriflux_site_search
CA-BCW,WET,ameriflux_site_search
CA-BOU,WET,ameriflux_site_search
CA-BSM,ENF,ameriflux_site_search
CA-CA1,ENF,ameriflux_site_search
CA-CA2,ENF,ameriflux_site_search
CA-CA3,ENF,ameriflux_site_search
CA-CBO,DBF,ameriflux_site_search
CA-CF1,WET,ameriflux_site_search
CA-CF2,WET,ameriflux_site_search
CA-CF3,WET,ameriflux_site_search
CA-CHA,MF,ameriflux_site_search
CA-CQ1,CRO,ameriflux_site_search
CA-CRB,CRO,ameriflux_site_search
CA-DB2,WET,ameriflux_site_search
CA-DBB,WET,ameriflux_site_search
CA-DL1,OSH,ameriflux_site_search
CA-DL2,WET,ameriflux_site_search
